economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
ALB,92.4272394797276,88.8355006398095,91.3698201784129,91.4288559885974,88.4152572472806,87.9767161632654,88.1503663769644,92.2443533486341,93.4726902420337,91.9288404246391,89.2666973206039,89.2735994414988,88.8116964820969,91.0548674755732,92.2392229655882,91.8053952187363,92.2303767999408,91.1064569904782,90.3942052786927,91.3471773257587,92.4175741583452,86.3171730953282
AND,,,,,,,,,,,,,,,,,,,,,,
ARM,112.964756569207,108.753808222086,102.869512812633,96.9965519187696,96.1198313117346,89.1341265601753,85.2750394568942,84.755100160246,84.6880871612562,96.8311215981661,98.300593777353,99.9153984641812,96.78979331931,98.7235707172707,97.6330390280979,91.0274446603294,89.7578164754025,92.3485450148713,91.2875796372273,96.0040219938442,90.2950007656219,87.8036922008388
AUT,73.086425093471,73.0873241265801,72.3786053176917,73.0630176182897,72.7533137642499,73.1560004145232,72.47354003714,70.7605311778234,71.0974067400365,74.165778550098,73.9944630665627,73.2763073235476,73.3205055881469,73.5788067186523,73.1992966328554,72.444522561601,71.912956633095,71.9983982104054,71.2730773045237,71.0116440450091,71.2383879088757,71.5574077837064
AZE,79.5616879676141,75.1429753931823,75.3055670103093,72.3515007346253,68.7123396872289,52.5430225593931,45.6428502843243,43.0616526506938,41.930677775231,53.8800331446709,50.2439656187448,47.3862370876694,49.9969859545482,52.1862431679901,56.3234887933562,69.0983817579993,71.5405162084693,68.9278026893079,64.6070768616091,68.6301684327234,77.1048015861534,65.933681320989
BEL,73.3523834487106,73.7190964946362,73.6751521193138,73.6778281096528,72.4387902824509,72.2823296271162,71.9869660758139,71.2615633191306,73.3904375096484,75.5647485170553,75.1707674255749,75.5920586816211,76.2471233874203,76.7739513337406,76.0450100532676,74.9540318319065,74.5535827427722,74.5046007179866,74.9195523624782,74.3591388189577,73.9522076053501,72.9398246028959
BGR,86.261847161659,87.9676621134856,87.4459826952073,88.1058202253944,87.7172653084198,86.9154080503237,85.0353701794247,85.2162553070748,82.8088904466123,79.7167247198454,80.6753593597729,78.4917175274146,81.3998128521915,79.5602930479894,79.5783499336503,78.1074870126598,76.1385912145059,75.8815316326477,76.245693594183,75.7740151141523,77.7043612479597,77.2474779755148
BIH,125.470024917336,124.485480289858,121.038393816998,120.585313449764,116.021700012455,114.429118575498,109.569895018525,107.076386845889,107.292867521097,107.880299584325,106.890445756244,106.31963761408,108.153981096187,106.477298010206,105.755314549794,101.378120120772,98.2836343093366,95.9242384740903,93.4425241659005,92.930149214557,93.9935207629354,88.8837067469228
BLR,76.3891261030458,79.177148114504,80.520538826167,78.5096595632959,74.3295900527687,72.7731833753156,70.6828819054588,70.334265421915,68.4822036692893,72.3094939662034,71.666457436037,62.1538837084411,61.618318068094,64.6861695108832,66.5814545105708,67.7991089070258,70.162929572718,70.1088056345167,69.2927631444485,70.8066600312769,69.2000454178105,67.976298418162
CHE,67.8272195838437,67.9393079334775,68.4476281088234,68.9096410542452,68.3686595906772,67.3636050833725,65.1078502720082,63.4374142393726,63.1073363842292,65.4146570276804,64.4943080565489,64.1640071255434,64.2388853534115,64.4023472181642,63.9856872400581,64.4057074293042,64.3685441190531,64.8805126823448,63.7376788873769,63.759031776915,63.7521605191739,62.0583115963967
CHI,,,,,,,,,,,,,,,,,,,,,,
CYP,76.990067278082,77.5365202312959,78.3696388249022,78.804585774955,78.0534281455514,78.0846043793725,78.3303806283218,80.3759443965618,83.8065457114877,82.4719379563367,84.269991146967,84.8350154785899,85.6296407167814,85.4403568534661,85.4168831890134,83.608733162273,80.6917191162468,79.697502643946,79.3057239195491,79.1205953894305,81.2751025958241,78.8914432713104
CZE,69.9180610563096,69.1786287292672,70.709354428978,71.8238170863185,69.3481795800023,68.120292147464,66.8948061404505,65.1831711245894,66.508090807003,69.3055948936859,69.5830317541017,69.0281644271024,68.8766351538013,69.2924683264576,67.656311913711,66.0748591790768,66.3481397151853,66.1067480794867,66.8645316250339,66.4044259360877,67.0972517533754,66.8537142453017
DEU,75.3437738550749,75.4129728336417,74.9733408549124,75.7891000510949,74.9603981401269,75.3144460322247,74.0131987187013,71.8489728151067,72.480237503387,76.4324353056143,74.671892060521,73.4566150373483,74.18382623456,74.1877745567076,73.0112761022467,72.6618046514087,72.6556907430919,71.9488485412407,71.9825580531578,72.2266401018064,72.282061296224,71.3913514263899
DNK,70.9378486178231,71.0343782870361,71.804962068472,72.2831612798886,72.6595686704278,72.2890582192885,71.6083514897051,71.8249495152328,72.4925437444664,76.4145539744401,74.978078572097,74.4785491019856,74.513587201253,73.7016933373525,72.9466142681299,72.580665099655,71.5414668242839,70.7715746107803,71.2560997024968,71.0773762482468,70.9899562774453,69.8942297951931
ESP,76.3152329779533,75.8148797491558,75.3069833714005,74.7024054366008,75.4148355260479,75.4165871395805,75.1291811404999,75.3359013480683,76.280912557535,77.5681435824349,78.7218155156711,79.1513711230791,79.499255167277,78.8622649476769,79.0081037528278,77.974050452095,77.2714057536656,76.9951965260836,76.8170524953504,76.2306776404582,78.1444182366732,77.673465126338
EST,73.9616099111339,73.4120845235678,73.6065594727059,73.1177895495942,72.7979017861389,71.2163423774626,69.9724370307755,68.305218343825,71.74811097129,73.8761985686806,71.9909426044985,68.6175771361908,68.9881530519992,70.0880883627035,69.3598875032634,70.9719455264272,71.1902982861342,69.4807048565946,69.2435065996776,69.6986409914019,70.4659336751067,67.9506475339906
FIN,67.5378549127102,67.4779434134469,68.8805678649839,70.7503838575543,70.5640030738608,71.0487166564453,71.1388861576546,69.342285323298,70.8866754175997,76.2130874237264,76.316418894139,76.5235002373761,78.1393474832991,78.7197595939722,79.0286954378265,78.8556425479575,78.0027400031262,75.9470793323936,75.9875268780358,75.7531539494201,75.3124435501149,75.4048860828987
FRA,76.183242762506,76.2627096606423,76.6943417710597,77.3877667161761,77.0976732066955,77.4619246222192,76.9955485239031,76.5494292660815,77.0284785030968,79.4582482537381,79.344947022712,78.7270406812384,78.6693725213088,78.7473862749145,78.4355964489142,77.8541251219051,77.9956752721083,77.6283909139742,77.1533605889377,76.5927220441124,78.2426425111092,76.9155134013363
FRO,77.0578278612502,75.6573156461317,77.2035960860279,83.3065502359945,85.7769132504936,94.8535961338008,85.1225549434522,83.1004720055918,85.3801492078748,92.0041595918401,84.2163456406033,84.7196824405691,85.7811444219211,81.580567230367,77.5558245897229,75.2104868048738,73.3158378304168,71.0489403872542,71.5274052883565,69.2708381013411,72.5948440947994,71.7878433970158
GBR,82.9003135832494,83.6343983313004,84.1542070389378,84.2560184174489,84.6731196445573,84.2900653952472,83.667778579707,83.4645282159566,84.2984140958666,86.3544393194843,85.4521977125754,85.1010478839522,85.2624353491424,85.0785728072105,84.4705922772217,83.8875938444496,84.0165924716711,83.1045252584163,83.4282310733704,83.3480763491647,82.3853784187858,82.8235857364668
