economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
ALB,43.3387875873655,45.1576132001299,47.5794520503068,46.1731745895907,44.8296265467915,47.85935562815,49.0574825118736,54.9542146887506,52.1493333802176,49.8541657924919,48.5639550032469,51.9770317939697,47.572712860263,46.9573987095321,47.19484413802,44.5336151883802,45.8319636476989,46.624465948041,45.236190919583,44.9749244902205,37.2477679402658,43.9123447009596
AND,,,,,,,,,,,,,,,,,,,,,,
ARM,50.0719114183969,45.7184119969031,46.152393477237,49.5683697098445,44.8798901687648,42.8265406335218,38.8841565463432,38.7856901033422,40.2765983873899,42.6033349980631,44.8945606568078,46.9123853980322,48.3998644778265,49.2015630214006,47.2184853070945,41.9566831307241,42.3336875987152,48.9863308847905,53.0802129926047,54.7633527667858,39.7238206244142,43.8307838542739
AUT,42.0142216659345,42.9191092459869,41.6287818010806,41.8169676971425,43.9251307189084,45.4140534786122,47.2466423435202,48.172384639555,48.8248221152974,41.8548144134358,47.7576359096203,51.154117778086,51.1785012313079,50.625120789651,50.1169562048263,49.3382548303838,48.5756846289351,50.8876917912507,52.4614203877556,52.128791145464,48.6108163058355,55.3219834500504
AZE,38.3777368008308,37.3165776205885,50.0503092783505,65.5453718603512,72.718107430072,52.9007785985227,38.758255006348,28.5128964581019,23.4667590165732,23.1082959987641,20.6812669257035,24.0810644752506,25.2883893489114,26.2600116874635,26.2096685368412,34.806730415594,43.6496693432541,41.8544509495606,37.5802826749238,36.7675179068137,36.3943117827554,29.9089897768306
BEL,69.6827399089776,67.964880914325,65.2538517924041,63.679044325004,66.0121279012141,70.2462217485879,72.7625122442923,74.1666421724765,80.2078278152436,66.5720368236699,74.14760859514,80.7963607521708,80.3415397228249,78.5264966401955,78.9822068454526,76.3872643576431,78.2354105104266,82.1434260996683,83.4151576304182,81.774363045681,77.7339834628859,85.8114962903504
BGR,41.5268474034378,44.2000513252659,41.6223072947401,44.5969394925382,52.1072576914266,57.1846454619625,64.0695841229168,71.1775233150947,72.2110884683881,50.473795516392,53.3039479843906,58.6533410656512,63.6398222029271,65.1509633420078,65.686403189455,62.9008550302398,58.9633436313898,62.682001370811,63.1558058786326,60.7056823815309,54.16092923613,59.647898139683
BIH,63.4739243887068,63.9670130078362,59.6014673260219,59.9814720336208,59.2764412254606,60.0390399307182,53.5716025736534,56.4503034447803,59.3148109188574,48.7381154401454,51.2726737758619,55.8003759026157,55.794567424912,54.1881944917975,56.5631605791701,53.8093167239366,52.9664840467528,57.0870325938479,57.2875421664718,55.2309836039192,48.5909529186708,54.5684233662057
BLR,72.3983446101294,70.2973237369855,67.3745423382546,68.9854723668665,74.2501770290328,59.08654296872,64.2337921203023,67.2108252637516,68.6617233270771,59.759183004167,64.545087636347,79.5088935540041,74.3083620349781,61.4823871290472,55.7104203103354,57.9040596348719,62.6999757764695,66.5781545217791,68.9386909876332,65.7558221092078,57.9217344260324,66.6277800557888
CHE,46.4991333355239,45.8371414069759,43.2222096993316,42.6147776748653,44.2171091602357,48.4069981103808,49.6359695603829,51.7790432182933,53.6486814547979,51.7663155605071,55.2274952612351,59.1063495101378,58.6764874108381,61.6254947939219,54.8761532535459,53.3095264649732,56.7481985878047,57.2733173133041,56.950318222608,57.1622185006251,57.8586240138035,59.4795150332257
CHI,,,,,,,,,,,,,,,,,,,,,,
CYP,67.5320984530317,63.6402239453806,61.2360305015468,56.2425225499031,57.0138062859138,56.2249625665534,56.370599083076,58.0160532639575,62.8441160392005,54.068719899389,58.5671734221764,57.1630482813666,57.0658923564013,59.6296102081412,64.8926524865955,67.2591289207131,68.538046229121,74.1768764188964,73.5606602877634,75.4620532264399,82.7669616349417,83.6955071791108
CZE,49.9553490796798,50.1559443005111,46.3305217203237,48.2454810636058,56.431120090335,59.4847335388564,62.1529584259566,63.6782481196559,60.7908510312007,54.4518147241498,62.4859061276726,67.040951691926,70.8826700109956,70.3640354339119,75.6207076036768,74.6168853659096,71.4791907144509,71.5055129948816,71.0049473632267,67.8912433363527,63.1995482324718,69.7700783245706
DEU,30.678349430323,30.2181317720272,28.3423107018725,29.0376067680426,30.5128352456553,32.8591405884692,36.0168212387006,36.5516592986738,37.7256144732553,33.1088059597748,37.3031508345032,40.148984986412,40.2069347359679,39.6601988368577,39.0008300796262,39.3254862566007,38.6963831131131,40.0741622693716,41.2110119003402,41.0167968997426,37.3851760276969,41.7122232248213
DNK,38.1366854891628,38.4140819246082,38.852495620333,37.0432985323193,38.2793303141397,41.9476153409526,46.6366891837203,48.5853161257883,50.6524324898078,42.6289658299793,43.5770492484191,47.4256465609762,48.610476322948,48.2213220971567,47.6507769059402,48.6300540046819,46.7428482622986,47.9020131257278,50.4151919422829,51.5776463887491,48.5826383015702,52.5217141767259
ESP,31.5189758138831,30.1355363035009,28.5451843234359,27.834782977217,29.1121978690701,29.783028542406,30.9358323130671,31.7628649449253,30.3594008693685,23.933180152302,26.9765612109155,29.2582088303504,29.3899548445162,29.0243632412605,30.3702857231399,30.5723444752396,29.8774250282658,31.5264965264277,32.4298775853318,31.966988702647,29.3432225182895,33.4482890055202
EST,64.8682158484488,65.2050237374212,65.3623356999864,65.6145869380106,68.8988723961921,70.5037965242827,73.3764563602288,71.3890284778055,70.2967987125335,55.9003714727917,68.6289078910852,80.7881884166076,84.5521341507317,81.8846643269787,78.3760418502864,73.5016912601311,73.4011590079231,71.7538682971034,71.59639823515,69.8698438396202,69.1924757132555,78.6613974730984
FIN,32.8637809472157,30.5127637801809,30.1644599490861,30.7349636570916,32.3448267173938,36.3058407767462,38.909292815954,39.0314958946288,41.2843281085116,34.0423775908268,37.0500098329462,39.6791886786735,40.3622218795545,39.0762574576279,37.6312851322155,35.9755895640656,36.0880478856922,37.5035903509043,39.7233811069896,39.7247538126725,35.7103548518545,39.1877215386268
